CustomerID,Age,Gender,Annual Income (k$),Spending Score (1-100)
79,43,Male,35.7,25
80,61,Female,25.5,91
81,51,Male,44.3,100
82,27,Female,81.6,60
83,53,Male,83.8,90
84,31,Female,72.8,36
85,48,Male,78.1,30
86,65,Male,72.9,51
87,32,Female,44.0,61
88,25,Male,70.8,40
89,31,Female,80.0,63
90,40,Female,78.9,58
91,57,Female,89.7,25
92,38,Female,77.7,63
93,33,Female,68.8,72
94,62,Female,86.8,54
95,35,Female,59.3,79
96,64,Female,38.0,20
97,70,Female,55.9,62
98,41,Female,41.4,21
99,43,Female,43.1,22
100,42,Male,56.4,34
101,62,Male,40.2,26
102,58,Female,52.3,36
103,46,Female,15.0,45
104,32,Female,65.3,71
105,62,Female,60.0,42
106,18,Female,39.6,10
107,42,Female,76.5,79
108,24,Female,83.4,29
109,26,Female,19.8,49
110,41,Male,40.9,61
111,18,Female,40.8,55
112,61,Male,36.5,77
113,25,Female,80.7,62
114,41,Female,55.2,28
115,28,Male,53.4,100
116,68,Female,15.0,55
117,34,Male,75.9,46
118,25,Female,29.0,74
119,52,Female,61.5,56
120,52,Male,66.9,60
121,50,Female,94.0,100
122,22,Male,27.3,43
123,59,Female,15.0,42
124,56,Male,64.6,53
125,58,Male,105.0,77
126,45,Female,91.0,12
127,24,Female,65.2,1
128,26,Male,47.7,35
129,25,Female,80.2,9
130,29,Female,35.7,39
131,51,Female,71.9,63
132,50,Male,72.6,28
133,65,Male,86.5,14
134,40,Male,129.0,52
135,41,Male,69.8,72
136,54,Male,47.3,8
137,52,Male,59.4,71
138,61,Male,15.8,70
139,57,Male,42.6,74
140,39,Male,49.8,80
141,44,Female,46.9,100
142,52,Male,63.8,41
143,18,Female,39.4,53
144,52,Female,88.0,40
145,54,Female,60.0,50
146,64,Male,59.8,88
147,31,Male,51.8,16
148,20,Male,63.9,28
149,18,Male,80.6,84
150,22,Female,38.3,76
151,43,Male,43.5,41
152,31,Male,52.4,71
153,56,Male,26.4,59
154,44,Male,39.5,88
155,26,Male,48.1,52
156,32,Female,81.9,76
157,32,Male,66.6,100
158,43,Female,64.8,65
159,59,Male,81.3,51
160,30,Female,56.6,68
161,68,Male,69.8,41
162,49,Male,57.4,100
163,56,Female,66.6,55
164,66,Female,45.4,43
165,69,Female,15.0,29
166,49,Male,56.6,77
167,21,Female,95.6,72
168,47,Male,83.2,38
169,54,Male,84.1,64
170,40,Female,90.9,12
171,56,Female,62.2,55
172,62,Male,64.9,61
173,32,Male,44.6,93
174,60,Female,52.1,31
175,46,Female,75.4,18
176,53,Female,90.1,28
177,30,Male,56.5,17
178,49,Male,48.7,83
179,24,Male,60.0,89
180,68,Male,75.0,58
181,39,Male,23.9,81
182,45,Male,15.0,53
183,19,Female,46.2,48
184,59,Male,29.5,42
185,62,Male,47.3,42
186,70,Male,56.3,11
187,23,Female,48.7,57
188,45,Male,96.3,49
189,45,Male,68.2,69
190,61,Female,67.5,52
191,61,Male,75.6,46
192,37,Male,31.5,28
193,47,Male,86.0,52
194,28,Male,58.1,68
195,45,Male,76.8,21
196,42,Female,33.2,52
197,56,Female,21.2,56
198,50,Female,80.4,32
199,18,Male,69.4,35
200,44,Male,37.4,56
201,69,Male,38.3,22
202,30,Female,88.1,59
203,58,Male,30.3,28
204,20,Male,101.1,77
205,56,Female,37.5,100
206,23,Male,76.0,28
207,25,Female,51.8,63
208,44,Female,75.1,32
209,26,Female,46.4,76
210,54,Male,55.9,18
211,50,Male,61.0,62
212,68,Male,34.9,28
213,59,Male,78.5,45
214,61,Male,47.2,24
215,41,Male,54.3,71
216,32,Male,35.1,29
217,49,Female,15.0,64
218,49,Male,55.2,41
219,41,Female,120.3,47
220,58,Male,79.6,54
221,69,Male,59.5,31
222,66,Male,53.4,55
223,66,Female,60.6,88
224,69,Female,73.7,31
225,29,Female,30.5,79
226,56,Female,87.9,87
227,19,Male,77.9,30
228,20,Female,78.0,14
229,66,Male,71.0,58
230,54,Male,60.5,36
231,66,Female,76.8,97
232,34,Female,74.8,51
233,66,Female,51.1,30
234,19,Female,45.7,21
235,19,Female,62.5,77
236,45,Female,98.7,36
237,40,Female,29.0,51
238,54,Female,23.3,74
239,49,Male,64.1,38
240,50,Female,61.3,49
241,18,Female,64.3,50
242,36,Male,66.1,67
243,19,Female,54.4,65
244,70,Male,97.2,44
245,61,Male,20.0,52
246,43,Female,39.3,41
247,49,Male,57.4,13
248,23,Male,18.9,56
249,49,Male,55.6,97
250,21,Male,101.5,28
251,28,Female,60.5,31
252,34,Male,65.8,28
253,55,Female,28.5,68
254,41,Male,44.6,61
255,22,Male,50.6,46
256,69,Male,52.1,27
257,51,Male,92.0,52
258,23,Female,73.9,11
259,39,Female,32.2,54
260,28,Male,66.2,72
261,65,Male,72.5,19
262,33,Female,88.5,12
263,50,Male,99.5,89
264,26,Male,34.6,35
265,23,Male,39.7,78
266,33,Female,28.6,46
267,46,Female,54.1,46
268,20,Female,71.7,61
269,37,Male,84.7,28
270,53,Male,58.1,53
271,36,Female,52.0,40
272,43,Female,63.8,17
273,20,Female,39.1,58
274,36,Female,112.2,43
275,37,Male,19.8,46
276,49,Female,64.6,20
277,24,Male,110.6,90
278,69,Female,60.2,72
279,58,Male,55.2,74
280,50,Female,51.1,42
281,57,Female,55.5,7
282,56,Female,94.3,99
283,35,Female,15.0,48
284,57,Male,98.3,31
285,18,Female,24.4,60
286,28,Male,53.3,79
287,45,Male,49.3,49
288,42,Male,74.7,82
289,67,Male,20.0,77
290,40,Female,71.6,23
291,48,Male,110.6,33
292,47,Male,25.9,74
293,59,Male,64.7,1
294,52,Female,43.5,46
295,24,Female,70.6,14
296,33,Female,60.5,38
297,43,Female,44.0,43
298,65,Male,72.2,41
299,69,Male,105.1,36
300,66,Female,55.2,23
301,19,Male,78.0,100
302,18,Male,27.7,97
303,65,Male,36.1,21
304,29,Female,71.8,90
305,22,Female,97.1,40
306,54,Male,68.9,53
307,49,Female,52.2,48
308,26,Female,60.0,34
309,58,Female,28.7,75
310,52,Female,75.1,53
311,36,Female,82.1,38
312,65,Male,48.7,17
313,33,Female,48.2,28
314,20,Male,66.6,9
315,37,Male,49.1,50
316,41,Female,58.3,20
317,50,Male,112.5,43
318,41,Male,53.8,84
319,69,Male,51.0,80
320,28,Female,43.8,49
321,66,Female,78.6,48
322,25,Male,55.5,97
323,53,Female,43.8,63
324,55,Female,93.0,42
325,57,Female,95.5,14
326,37,Female,45.0,60
327,52,Male,15.0,71
328,65,Male,85.2,34
329,42,Female,42.9,57
330,52,Female,79.8,41
331,42,Male,15.0,45
332,46,Male,82.3,1
333,35,Female,29.7,44
334,63,Male,78.3,74
335,35,Female,60.4,34
336,19,Female,36.2,51
337,52,Male,49.8,31
338,33,Male,77.2,59
339,58,Female,62.6,45
340,53,Female,74.6,27
341,50,Male,109.4,83
342,21,Female,20.9,73
343,50,Male,100.4,35
344,31,Female,62.6,62
345,38,Male,37.5,63
346,65,Male,26.7,66
347,37,Male,55.3,8
348,25,Female,83.0,75
349,24,Female,56.8,36
350,20,Male,97.8,41
351,34,Female,23.7,100
352,50,Male,59.7,58
353,65,Male,28.7,40
354,29,Female,69.1,1
355,68,Female,82.2,85
356,39,Male,49.5,16
357,39,Female,15.0,25
358,63,Female,65.0,42
359,47,Male,70.9,85
360,55,Male,70.1,69
361,55,Female,90.9,46
362,62,Male,33.2,58
363,68,Male,77.0,35
364,25,Female,89.8,53
365,44,Male,15.5,52
366,44,Male,68.0,74
367,51,Female,47.4,74
368,38,Female,58.0,62
369,47,Male,68.7,41
370,50,Male,47.8,69
371,45,Female,43.1,48
372,64,Female,60.9,23
373,50,Female,32.8,40
374,22,Female,32.9,52
375,65,Male,77.0,73
376,36,Female,31.3,45
377,21,Female,76.7,20
378,52,Male,71.6,51
379,66,Female,16.9,53
380,34,Male,43.1,55
381,61,Female,89.9,73
382,45,Female,35.5,75
383,47,Female,48.4,35
384,46,Male,71.6,35
385,63,Male,79.6,24
386,70,Female,53.7,67
387,23,Male,45.1,86
388,52,Male,95.6,42
389,58,Male,103.5,44
390,54,Male,84.5,87
391,41,Male,62.1,63
392,46,Male,39.8,61
393,66,Female,39.2,20
394,63,Female,73.1,67
395,70,Male,70.5,27
396,48,Female,95.0,22
397,52,Female,76.3,41
398,50,Female,22.4,35
399,69,Female,86.3,44
400,38,Male,35.0,14
401,49,Female,50.4,74
402,40,Female,66.3,78
403,50,Male,109.9,1
404,20,Male,137.7,74
405,35,Female,75.2,30
406,42,Female,55.4,71
407,59,Female,73.4,48
408,48,Female,82.2,51
409,20,Female,52.0,45
410,57,Female,104.9,80
411,63,Male,65.8,19
412,41,Female,72.4,65
413,67,Female,76.6,78
414,49,Male,70.5,68
415,64,Male,81.0,100
416,39,Male,44.6,37
417,40,Male,46.0,74
418,19,Female,32.5,47
419,44,Female,71.0,81
420,59,Female,79.5,50
421,19,Female,71.4,40
422,43,Female,101.9,83
423,34,Female,59.9,38
424,57,Male,76.7,15
425,50,Female,32.7,37
426,26,Male,50.3,65
427,60,Male,77.4,85
428,65,Female,81.2,53
429,56,Male,52.7,83
430,46,Female,58.2,16
431,59,Male,22.1,39
432,43,Female,51.1,43
433,52,Male,82.3,47
434,67,Female,74.4,52
435,42,Female,72.5,67
436,41,Female,61.2,39
437,30,Female,60.2,53
438,24,Female,43.5,49
439,53,Male,77.5,27
440,62,Male,70.5,47
441,37,Male,72.3,46
442,18,Female,46.8,46
443,25,Male,15.0,51
444,63,Female,87.4,52
445,33,Female,48.0,39
446,31,Male,38.4,82
447,29,Male,77.3,21
448,68,Female,50.2,32
449,40,Male,86.5,100
450,32,Female,75.4,24
451,45,Female,77.1,16
452,51,Female,25.9,68
453,19,Female,90.3,1
454,49,Female,66.5,44
455,40,Male,50.8,100
456,39,Male,63.6,11
457,68,Female,15.6,1
458,42,Female,70.2,13
459,39,Male,34.3,72
460,39,Male,26.2,78
461,66,Female,21.9,37
462,69,Male,87.8,67
463,59,Female,44.3,85
464,23,Male,98.3,95
465,32,Female,46.6,44
466,60,Male,17.3,1
467,54,Female,32.1,29
468,50,Male,90.9,39
469,25,Male,56.1,44
470,70,Female,46.3,45
471,61,Male,64.0,78
472,61,Female,72.5,82
473,22,Male,87.9,46
474,56,Female,96.2,77
475,21,Male,51.0,59
476,23,Female,26.8,52
477,62,Male,49.7,73
478,49,Female,66.5,52
479,69,Male,35.9,100
480,47,Female,36.1,14
481,64,Female,68.6,37
482,52,Female,58.8,47
483,57,Male,60.8,61
484,69,Female,41.0,82
485,33,Male,54.2,49
486,30,Female,36.9,14
487,67,Male,82.3,71
488,59,Female,85.9,69
489,47,Male,15.0,1
490,36,Male,36.8,50
491,34,Female,22.6,10
492,36,Male,43.7,33
493,45,Male,57.9,27
494,43,Female,23.8,70
495,54,Male,37.0,53
496,43,Male,34.9,18
497,70,Male,65.2,72
498,40,Female,61.7,14
499,26,Male,42.0,58
500,29,Female,64.4,30
501,70,Male,46.3,41
502,18,Male,53.2,63
503,18,Male,101.8,63
504,64,Female,93.5,83
505,51,Male,27.5,48
506,49,Male,80.7,58
507,65,Female,80.3,39
508,42,Male,31.3,55
509,57,Female,80.5,61
510,62,Female,98.4,48
511,70,Male,31.9,5
512,18,Female,37.1,58
513,33,Male,85.4,59
514,56,Female,66.8,33
515,22,Female,73.8,18
516,39,Male,68.5,87
517,46,Female,69.8,62
518,20,Female,26.8,44
519,29,Female,86.2,22
520,43,Female,89.2,29
521,33,Female,54.3,83
522,68,Male,58.9,53
523,54,Female,21.7,36
524,39,Male,72.9,63
525,46,Female,74.3,30
526,31,Male,58.4,88
527,45,Male,88.1,84
528,22,Female,51.6,38
529,64,Female,74.1,34
530,66,Female,34.5,1
531,47,Male,59.4,13
532,63,Female,55.6,17
533,69,Male,65.6,53
534,22,Male,50.8,42
535,29,Male,56.7,16
536,33,Female,80.7,43
537,43,Female,49.1,63
538,43,Male,19.8,63
539,65,Male,103.7,3
540,38,Female,94.5,47
541,56,Male,27.7,15
542,53,Female,77.2,73
543,50,Male,47.4,70
544,47,Female,66.6,28
545,54,Male,67.4,31
546,40,Female,54.1,38
547,27,Male,40.4,1
548,22,Female,42.7,58
549,53,Female,37.1,43
550,51,Male,39.2,74
551,69,Male,58.3,23
552,48,Female,42.1,35
553,27,Male,77.1,12
554,36,Female,97.2,25
555,49,Male,45.5,20
556,18,Female,66.0,75
557,22,Female,72.5,33
558,62,Female,71.8,53
559,21,Female,61.9,40
560,33,Female,78.6,18
561,41,Female,72.1,46
562,33,Male,29.1,65
563,19,Male,81.7,20
564,66,Male,82.2,70
565,45,Female,40.9,29
566,49,Female,60.9,38
567,44,Female,77.1,63
568,37,Female,54.8,33
569,41,Male,86.8,51
570,29,Male,119.1,42
571,67,Female,40.4,53
572,52,Male,25.5,1
573,50,Male,67.6,4
574,50,Female,78.0,65
575,68,Male,54.2,76
576,60,Female,96.3,27
577,54,Male,26.5,44
578,29,Female,77.3,57
579,20,Female,44.9,67
580,18,Female,103.0,1
581,50,Female,109.8,28
582,57,Male,40.8,42
583,27,Female,46.3,68
584,60,Female,81.5,100
585,61,Female,50.3,44
586,46,Male,58.9,15
587,30,Female,60.6,60
588,29,Male,15.0,83
589,48,Female,59.7,53
590,63,Male,42.8,27
591,19,Male,47.7,74
592,68,Female,96.1,67
593,67,Male,28.6,24
594,52,Female,80.3,60
595,40,Female,53.0,75
596,34,Female,53.0,80
597,43,Male,79.8,48
598,25,Male,68.5,41
599,46,Female,74.3,81
600,43,Female,84.2,20
601,27,Male,51.7,61
602,43,Female,44.7,16
603,51,Female,32.9,77
604,68,Female,39.4,44
605,58,Male,133.7,82
606,24,Male,91.1,62
607,21,Male,26.2,19
608,70,Female,26.9,86
609,67,Female,72.0,89
610,62,Female,73.7,72
611,28,Male,73.7,31
612,46,Female,53.6,42
613,53,Female,56.9,54
614,42,Female,68.2,32
615,38,Female,62.1,92
616,53,Male,15.0,54
617,27,Male,54.3,1
618,54,Female,38.7,58
619,26,Male,64.4,41
620,41,Male,134.6,48
621,52,Female,69.2,41
622,66,Female,52.2,70
623,52,Male,83.0,78
624,65,Female,72.1,57
625,53,Male,70.5,42
626,35,Female,75.2,49
627,66,Male,111.4,50
628,56,Female,31.7,30
629,49,Male,71.8,64
630,41,Male,36.8,62
631,40,Male,73.9,89
632,49,Female,37.0,81
633,54,Male,49.6,33
634,29,Male,52.6,71
635,66,Female,84.4,26
636,30,Female,83.0,67
637,40,Male,28.9,37
638,42,Male,61.4,24
639,52,Female,42.3,57
640,58,Female,28.5,1
641,47,Female,54.6,6
642,34,Female,52.3,46
643,66,Female,120.7,52
644,37,Male,70.8,41
645,65,Female,25.6,11
646,42,Male,45.9,30
647,39,Male,85.5,60
648,30,Male,112.2,65
649,36,Female,20.4,50
650,66,Male,15.0,79
651,53,Male,106.8,60
652,29,Female,69.7,31
653,58,Male,38.3,43
654,36,Male,73.4,15
655,29,Female,15.0,47
656,26,Male,60.1,78
657,24,Male,68.2,67
658,45,Male,83.1,85
659,31,Female,34.7,42
660,48,Female,62.1,84
661,69,Female,36.9,45
662,36,Male,66.4,87
663,64,Male,37.6,49
664,33,Female,49.8,68
665,70,Male,35.1,87
666,22,Male,76.3,45
667,52,Female,81.5,55
668,29,Female,54.1,82
669,42,Male,61.0,47
670,69,Male,23.8,17
671,38,Male,52.5,100
672,53,Female,58.7,38
673,70,Female,125.5,54
674,40,Female,32.2,79
675,33,Female,96.6,35
676,56,Male,84.9,25
677,62,Female,67.0,56
678,70,Female,104.0,5
679,59,Female,69.3,43
680,56,Female,69.7,56
681,31,Female,58.7,43
682,48,Male,90.6,11
683,22,Male,87.4,90
684,52,Female,44.4,53
685,40,Male,27.0,86
686,46,Female,54.9,43
687,60,Female,40.0,28
688,28,Male,58.4,57
689,35,Male,90.9,45
690,64,Female,48.6,21
691,29,Female,58.9,87
692,26,Female,61.5,34
693,27,Male,81.2,4
694,61,Female,15.0,83
695,34,Female,44.8,37
696,55,Female,65.3,35
697,24,Male,90.0,6
698,63,Female,47.7,94
699,30,Female,15.0,18
700,57,Male,75.5,51
701,59,Female,44.1,73
702,26,Female,30.3,61
703,67,Male,44.4,49
704,44,Female,55.4,7
705,19,Male,44.9,30
706,22,Male,15.0,55
707,46,Female,82.4,30
708,54,Female,91.9,55
709,55,Female,76.3,67
710,36,Female,31.6,74
711,25,Male,55.0,19
712,65,Female,59.8,100
713,62,Male,75.0,69
714,18,Female,76.7,50
715,39,Female,41.6,77
716,69,Female,62.0,100
717,34,Male,71.4,14
718,24,Female,96.4,44
719,42,Female,77.6,1
720,62,Female,79.7,55
721,21,Female,62.1,59
722,53,Male,95.3,49
723,23,Female,70.2,34
724,48,Male,38.5,1
725,36,Male,95.1,59
726,61,Male,77.4,86
727,56,Male,48.9,35
728,44,Male,48.0,61
729,27,Male,67.4,11
730,43,Female,71.6,61
731,36,Male,64.9,40
732,56,Male,67.8,31
733,20,Male,102.5,31
734,62,Female,86.8,40
735,30,Female,64.8,60
736,67,Male,83.5,17
737,45,Female,34.2,40
738,37,Male,69.9,49
739,45,Male,105.2,23
740,25,Female,54.5,95
741,58,Male,38.8,29
742,56,Female,43.7,33
743,18,Female,32.8,26
744,20,Male,40.4,95
745,30,Male,50.7,64
746,45,Female,24.9,27
747,66,Male,60.4,78
748,42,Male,82.6,55
749,50,Male,37.3,56
750,55,Female,98.0,41
751,70,Female,72.8,31
752,23,Male,85.8,58
753,61,Female,43.6,36
754,62,Female,81.4,95
755,49,Female,32.7,18
756,62,Female,82.3,88
757,64,Female,64.3,47
758,38,Male,73.8,57
759,33,Male,30.6,71
760,38,Male,37.6,34
761,28,Female,74.9,72
762,54,Female,36.3,1
763,53,Male,71.6,32
764,52,Female,25.8,27
765,36,Male,81.2,19
766,37,Male,29.2,45
767,35,Male,73.8,60
768,64,Female,75.6,68
769,58,Female,42.6,56
770,66,Male,74.6,33
771,31,Male,66.5,59
772,32,Male,46.5,53
773,48,Male,34.8,73
774,18,Female,15.0,69
775,70,Female,68.7,51
776,20,Male,20.9,28
777,33,Male,62.4,34
778,40,Female,53.4,36
779,28,Female,77.0,42
780,29,Male,52.4,57
781,27,Male,51.8,68
782,49,Male,78.3,49
783,33,Female,68.4,50
784,25,Female,67.9,54
785,55,Female,71.7,37
786,29,Male,21.6,27
787,41,Male,78.9,6
788,45,Female,75.3,33
789,70,Female,34.6,62
790,25,Male,53.9,32
791,45,Female,59.0,44
792,53,Female,56.6,62
793,43,Male,68.3,63
794,25,Female,95.8,23
795,67,Male,87.0,75
796,45,Male,27.2,78
797,45,Male,75.6,22
798,54,Male,93.2,29
799,58,Male,69.7,80
800,53,Male,87.3,46
801,44,Male,110.3,1
802,34,Female,85.6,15
803,26,Male,66.2,44
804,50,Male,86.1,21
805,70,Female,63.6,40
806,37,Female,60.6,51
807,30,Female,51.2,87
808,45,Male,99.1,43
809,65,Female,39.5,77
810,46,Male,98.3,86
811,30,Male,72.5,86
812,63,Male,25.0,57
813,52,Male,69.2,1
814,23,Female,15.0,62
815,35,Female,75.6,76
816,68,Male,82.1,48
817,22,Male,45.2,94
818,64,Male,63.1,71
819,42,Female,108.9,64
820,19,Male,47.4,77
821,27,Male,33.5,58
822,47,Female,97.0,1
823,67,Female,109.1,38
824,62,Male,60.1,80
825,22,Female,85.3,30
826,50,Female,93.5,44
827,18,Male,41.4,24
828,35,Female,47.9,95
829,49,Male,90.8,92
830,64,Female,102.1,28
831,66,Male,74.1,54
832,28,Male,38.0,33
833,38,Male,109.7,65
834,43,Female,46.7,63
835,42,Male,51.6,70
836,39,Female,68.6,58
837,44,Male,98.9,100
838,66,Male,81.3,24
839,30,Female,70.4,7
840,50,Male,71.6,40
841,51,Male,61.1,11
842,58,Female,74.0,13
843,52,Male,15.0,25
844,18,Male,52.6,27
845,38,Male,66.0,26
846,65,Male,31.2,63
847,23,Female,69.7,37
848,45,Female,54.9,46
849,34,Male,103.9,72
850,22,Female,99.3,31
851,48,Male,48.4,43
852,22,Female,56.2,59
853,55,Male,58.2,1
854,20,Male,48.7,1
855,70,Male,64.9,59
856,40,Male,41.0,62
857,54,Male,31.7,100
858,70,Male,75.6,54
859,54,Female,75.7,70
860,27,Male,39.9,45
861,27,Female,82.4,57
862,36,Male,44.2,92
863,34,Female,66.3,1
864,38,Female,80.5,60
865,31,Female,59.2,100
866,26,Male,71.4,57
867,63,Male,47.1,91
868,18,Female,55.1,34
869,68,Male,54.9,49
870,62,Female,41.3,51
871,30,Male,55.6,1
872,21,Female,21.3,21
873,18,Female,47.7,23
874,66,Male,52.9,71
875,57,Female,53.6,72
876,49,Male,54.0,58
877,51,Female,58.5,71
878,45,Female,72.0,46
879,48,Male,81.9,80
880,25,Male,43.8,50
881,56,Male,29.9,51
882,43,Female,33.9,43
883,51,Male,47.8,67
884,20,Female,51.2,39
885,67,Female,40.8,74
886,29,Male,27.6,22
887,18,Male,48.6,23
888,61,Female,64.5,67
889,22,Female,74.9,48
890,47,Male,46.1,39
891,47,Male,49.7,72
892,34,Male,36.8,35
893,65,Male,59.2,45
894,64,Male,38.8,85
895,40,Female,74.3,88
896,32,Female,15.4,89
897,54,Female,51.0,43
898,38,Female,67.5,81
899,31,Male,64.6,26
900,19,Male,127.3,27
901,28,Male,68.7,1
902,68,Female,34.9,92
903,56,Female,57.6,28
904,55,Male,15.6,47
905,51,Male,58.0,27
906,55,Female,39.2,67
907,67,Female,82.9,41
908,51,Male,46.3,17
909,35,Male,57.1,61
910,47,Female,44.1,14
911,32,Male,103.5,29
912,44,Male,52.0,1
913,68,Male,105.8,14
914,51,Female,80.4,54
915,69,Female,72.1,1
916,55,Female,69.2,13
917,50,Female,69.8,50
918,41,Female,15.0,36
919,32,Female,53.0,100
920,47,Female,81.1,96
921,59,Male,58.8,28
922,68,Male,24.9,64
923,34,Male,58.7,69
924,22,Male,102.6,35
925,46,Male,91.2,13
926,21,Male,58.4,50
927,27,Male,83.8,46
928,34,Female,50.8,39
929,27,Female,17.4,61
930,34,Male,36.9,31
931,37,Male,99.1,21
932,41,Female,53.2,53
933,22,Male,53.9,60
934,51,Male,52.5,21
935,23,Female,107.6,73
936,70,Male,100.6,6
937,19,Female,115.5,36
938,30,Male,56.0,44
939,60,Female,67.4,34
940,60,Female,22.1,36
941,65,Female,96.9,97
942,28,Male,30.8,29
943,68,Female,65.4,100
944,64,Male,32.6,61
945,40,Male,45.3,52
946,33,Male,39.1,62
947,48,Male,44.8,100
948,28,Female,46.5,25
949,33,Female,46.3,22
950,25,Male,80.8,31
951,21,Male,32.4,51
952,57,Female,65.5,7
953,21,Male,90.4,51
954,42,Female,47.2,92
955,20,Male,42.1,54
956,49,Male,54.2,43
957,20,Female,89.5,35
958,44,Male,64.9,72
959,46,Female,46.7,29
960,49,Male,72.1,96
961,67,Male,32.4,98
962,68,Male,77.0,56
963,36,Female,70.2,50
964,38,Male,52.3,76
965,22,Male,39.0,77
966,35,Male,37.8,30
967,45,Male,73.4,37
968,59,Female,90.7,17
969,39,Female,44.1,60
970,38,Male,71.5,67
971,23,Female,15.0,16
972,18,Male,45.4,39
973,22,Male,59.2,16
974,58,Male,37.3,28
975,29,Female,36.6,64
976,43,Female,43.3,32
977,63,Female,67.3,42
978,51,Female,55.3,9
979,66,Female,15.0,55
980,31,Female,15.0,49
981,43,Female,44.8,32
982,62,Female,71.4,45
983,44,Female,15.0,55
984,26,Male,47.5,30
985,43,Female,46.8,13
986,64,Female,94.7,95
987,39,Female,50.4,34
988,64,Female,69.6,48
989,47,Female,63.5,75
990,60,Female,15.0,100
991,65,Female,79.2,19
992,34,Female,65.4,61
993,43,Female,72.7,32
994,53,Female,150.0,37
995,18,Female,15.0,32
996,25,Male,103.1,22
997,66,Male,52.8,49
998,52,Female,67.2,13
999,69,Female,58.9,74
1000,32,Male,49.4,51
1001,64,Female,45.8,61
1002,39,Male,68.2,38
1003,31,Male,22.1,41
1004,43,Male,78.8,57
1005,45,Male,49.6,21
1006,40,Male,31.7,41
1007,31,Female,48.7,29
1008,41,Male,91.4,28
1009,19,Female,46.6,1
1010,62,Female,69.0,83
1011,43,Male,41.7,33
1012,31,Male,78.9,79
1013,68,Female,77.1,77
1014,24,Male,106.2,18
1015,20,Male,55.6,23
1016,64,Female,76.7,100
1017,40,Female,62.5,94
1018,63,Male,92.4,49
1019,60,Female,42.0,56
1020,64,Male,78.6,34
1021,62,Male,55.1,61
1022,35,Male,58.4,32
1023,55,Female,62.3,1
1024,52,Female,66.3,17
1025,68,Female,57.1,51
1026,32,Female,65.4,22
1027,42,Female,99.5,48
1028,54,Male,84.6,23
1029,45,Male,81.7,30
1030,27,Male,48.6,71
1031,56,Male,37.8,56
1032,34,Female,83.9,50
1033,56,Male,81.9,72
1034,39,Female,96.8,62
1035,43,Male,44.9,86
1036,61,Female,54.3,39
1037,42,Female,19.0,39
1038,34,Male,50.2,17
1039,30,Male,84.9,39
1040,37,Male,48.3,74
1041,42,Male,76.0,82
1042,21,Female,55.2,74
1043,27,Male,68.1,5
1044,20,Male,31.3,77
1045,58,Female,62.1,4
1046,62,Male,15.0,72
1047,35,Male,55.3,41
1048,64,Male,19.2,68
1049,53,Male,90.1,17
1050,64,Male,79.4,79
1051,39,Female,71.7,13
1052,51,Male,98.0,33
1053,64,Male,36.3,25
1054,25,Male,103.7,6
1055,57,Male,83.3,52
1056,66,Male,54.1,95
1057,61,Female,88.4,100
1058,36,Male,32.3,52
1059,59,Female,39.4,78
1060,58,Female,44.8,56
1061,54,Male,46.8,62
1062,23,Male,33.6,41
1063,69,Male,90.6,55
1064,43,Male,53.5,63
1065,51,Female,68.8,36
1066,62,Male,45.7,48
