Age,Annual_Income,Credit_Score,Loan_Amount,Loan_Term_Months,Employment_Years,Existing_Loans,Dependents,Savings,Property_Value,Self_Employed,Education,Marital_Status,Loan_Status
34,53367,755,362751,84,18,3,5,236678,542384,No,High School,Married,Rejected
37,100634,346,496656,84,8,1,2,144539,148626,No,High School,Married,Rejected
56,44061,631,134174,84,21,4,1,3828,228741,No,High School,Single,Rejected
60,116590,309,449405,48,18,2,3,230509,353202,No,Graduate,Married,Rejected
24,100336,443,283132,60,7,1,1,208964,325443,No,High School,Single,Rejected
22,62124,730,364102,24,24,1,2,155776,40021,Yes,Postgraduate,Single,Rejected
26,65638,451,277585,12,25,1,4,115435,110436,No,Postgraduate,Single,Rejected
62,130728,786,231222,24,3,2,3,29682,172215,Yes,Graduate,Married,Rejected
24,111115,435,20609,36,12,4,1,60455,714077,No,High School,Married,Rejected
49,21982,325,139742,12,20,3,1,27709,363705,No,Postgraduate,Married,Rejected
38,136322,306,80073,48,18,4,0,287275,161037,No,High School,Single,Rejected
46,126134,314,26028,48,13,0,4,48533,792555,No,Postgraduate,Married,Rejected
64,55765,731,450052,36,4,5,5,298142,30292,No,Graduate,Married,Rejected
54,102606,699,341871,24,17,3,3,217920,845312,Yes,Postgraduate,Single,Rejected
30,116422,506,249709,84,17,2,4,227908,961409,No,Graduate,Single,Rejected
56,129910,515,229421,48,26,0,5,232045,25426,No,Postgraduate,Married,Rejected
34,74681,801,407432,24,28,1,0,7405,836545,No,Postgraduate,Married,Rejected
51,83232,758,412471,12,20,1,5,154868,24797,Yes,High School,Single,Rejected
35,82349,558,157913,60,14,5,2,222579,542854,No,Graduate,Single,Rejected
28,120063,628,148650,84,22,4,5,213551,276376,No,Graduate,Married,Rejected
34,83474,753,418766,12,16,2,4,10287,103618,No,High School,Married,Rejected
43,125327,674,74739,24,2,2,0,213059,152135,Yes,Postgraduate,Single,Approved
60,49513,763,53617,72,0,1,2,11837,375737,No,Graduate,Single,Approved
41,42592,374,384477,36,23,1,4,144611,958523,Yes,Postgraduate,Single,Rejected
36,132196,541,198716,72,17,5,2,110897,914873,No,Graduate,Married,Rejected
65,43618,316,253856,12,21,5,5,159307,216754,No,Graduate,Married,Rejected
38,71632,558,432817,84,26,5,3,87740,428043,No,Postgraduate,Married,Rejected
44,35409,422,266270,48,15,2,1,128132,102627,Yes,High School,Married,Rejected
46,29529,610,272528,84,5,2,5,192329,565455,No,High School,Married,Rejected
45,142164,410,236626,12,8,4,2,189520,600835,No,Graduate,Single,Rejected
65,44154,555,352698,12,21,1,1,34516,925376,No,Graduate,Married,Rejected
61,52882,533,227682,12,9,2,3,285514,941152,No,Graduate,Married,Rejected
49,64917,796,338799,36,21,0,5,233336,762500,No,Graduate,Married,Rejected
35,102488,339,460899,84,28,0,5,52240,420891,No,Postgraduate,Married,Rejected
65,35701,421,480704,24,26,0,2,171182,379125,No,Postgraduate,Single,Rejected
21,95281,749,370649,36,16,3,1,94015,475750,Yes,Graduate,Married,Rejected
45,109871,818,164907,48,6,0,2,178560,668261,No,Graduate,Married,Approved
27,88225,391,288553,84,13,2,0,24371,938506,No,Postgraduate,Single,Rejected
29,139278,660,22676,24,13,3,2,248976,785379,No,Graduate,Single,Rejected
44,72492,422,165950,48,11,5,2,144940,178282,No,Graduate,Single,Rejected
21,22988,636,199477,84,5,1,5,219961,750093,No,Postgraduate,Single,Rejected
64,55919,812,140347,24,28,2,4,88588,251990,No,Graduate,Married,Rejected
28,130023,727,496485,24,13,0,4,75344,394908,No,Graduate,Single,Rejected
44,68426,732,144035,72,7,5,3,169198,175289,No,Postgraduate,Single,Rejected
31,72167,306,204253,12,16,5,3,26074,655428,No,High School,Single,Rejected
37,29013,419,111967,12,7,1,3,104228,361310,No,Graduate,Married,Rejected
28,59113,686,209445,36,7,5,1,140069,936470,No,Graduate,Single,Rejected
55,23574,649,348084,24,16,0,3,278577,289658,No,Graduate,Single,Rejected
55,118016,397,65965,48,10,4,3,4923,788607,No,Graduate,Single,Rejected
53,27838,342,226715,12,6,3,4,37034,757824,No,Postgraduate,Single,Rejected
25,113899,482,113485,72,22,5,2,208458,264302,No,High School,Married,Rejected
62,51368,534,447976,48,6,1,5,276867,838395,Yes,High School,Married,Rejected
59,52228,745,494902,72,11,0,3,32257,844621,Yes,Graduate,Married,Rejected
61,136296,499,78061,12,15,4,3,22484,409090,No,Graduate,Single,Rejected
48,69711,812,440258,24,12,3,2,136994,658607,No,High School,Single,Rejected
27,66097,825,63318,48,28,0,4,140646,399870,No,Postgraduate,Single,Approved
29,75773,512,161622,36,30,2,5,183855,305984,No,High School,Married,Rejected
28,48639,677,42087,84,14,4,4,174889,219508,No,Graduate,Married,Rejected
32,34823,845,131861,36,18,1,2,46927,239127,No,Graduate,Married,Rejected
54,43510,785,11953,36,2,0,4,74291,502906,No,Graduate,Married,Approved
53,149802,660,99266,12,10,1,5,270493,843476,Yes,Graduate,Married,Approved
43,58333,467,370575,12,23,2,4,299990,715323,No,Postgraduate,Single,Rejected
44,24435,703,252267,36,7,1,0,191931,704955,No,High School,Single,Rejected
57,58418,436,419520,48,7,4,1,149056,391821,No,Postgraduate,Single,Rejected
55,77955,532,361757,12,11,3,2,203177,853064,No,High School,Single,Rejected
64,79507,414,43739,36,30,0,1,188373,708509,No,Graduate,Married,Rejected
60,71033,551,491871,12,2,5,2,18057,832765,No,Postgraduate,Single,Rejected
42,106089,792,133020,60,19,3,0,284734,328680,No,Graduate,Married,Approved
47,138551,588,111879,48,27,0,5,286903,145927,No,Graduate,Married,Approved
55,92972,348,29987,24,1,1,2,296100,30907,No,High School,Single,Rejected
21,122012,751,123064,48,26,1,2,134504,485401,No,High School,Married,Approved
55,67219,815,273182,84,2,4,2,298903,939827,No,Graduate,Married,Rejected
57,54477,571,7775,24,15,1,0,145826,50026,No,Graduate,Single,Rejected
34,109780,730,405693,36,20,2,5,218960,926911,No,Graduate,Married,Rejected
23,62721,325,339054,12,18,4,4,269478,749877,No,Graduate,Single,Rejected
21,87228,369,72819,36,19,0,3,184698,973092,No,Graduate,Married,Rejected
25,35523,592,22046,72,6,1,5,186810,852035,Yes,Postgraduate,Married,Rejected
46,52326,705,477643,24,18,0,1,92192,444703,No,Graduate,Married,Rejected
34,132626,533,418741,60,0,1,1,158990,346869,No,Graduate,Married,Rejected
59,62205,530,385867,24,12,4,1,225255,80378,No,High School,Married,Rejected
47,20125,562,46181,12,13,5,3,53338,76810,No,Graduate,Married,Rejected
29,131248,420,136823,60,0,2,4,251356,114183,No,Postgraduate,Single,Rejected
35,86735,762,412707,12,3,0,0,41253,4858,Yes,Postgraduate,Single,Rejected
35,124396,817,425958,60,16,3,2,74501,989892,No,Graduate,Single,Rejected
46,36375,323,53736,12,5,1,2,276336,995530,Yes,Graduate,Married,Rejected
62,22711,676,198329,24,19,4,4,83562,65309,No,High School,Single,Rejected
33,52437,799,368602,24,20,0,0,33510,828620,Yes,Graduate,Married,Rejected
52,48022,736,317564,24,5,4,5,42899,156600,No,Graduate,Married,Rejected
59,29182,798,320401,24,1,0,2,74743,187800,No,Graduate,Married,Rejected
52,113177,473,48096,60,16,2,5,176653,88277,No,Graduate,Married,Rejected
24,115066,808,356908,84,28,5,0,142502,428571,No,Postgraduate,Single,Rejected
50,144401,609,429844,48,25,1,4,208240,796765,No,High School,Single,Rejected
57,108148,369,220365,48,15,0,4,268462,894535,No,Graduate,Married,Rejected
43,91531,504,81061,84,11,3,4,2559,100940,No,Postgraduate,Married,Rejected
59,60950,640,29790,36,11,1,2,288767,884687,No,Postgraduate,Married,Rejected
65,123806,331,120683,48,17,1,0,78330,288064,No,High School,Married,Rejected
35,32920,342,473815,36,29,4,1,232510,155730,No,Graduate,Married,Rejected
63,42144,417,165839,24,15,1,1,79701,336423,No,High School,Married,Rejected
49,140270,314,272471,12,5,0,2,280146,842608,No,Graduate,Single,Rejected
56,104418,621,385042,48,12,2,3,117271,271513,Yes,Graduate,Single,Rejected
33,22565,636,234109,48,30,0,3,187062,586642,No,Graduate,Married,Rejected
52,108909,831,236040,24,25,5,4,114271,707700,Yes,Graduate,Married,Rejected
27,73942,680,194397,24,24,1,0,9907,212425,No,High School,Married,Rejected
42,129093,810,185625,48,15,3,1,172827,357140,No,High School,Married,Approved
48,90560,419,374251,24,23,5,4,208236,964463,No,Postgraduate,Single,Rejected
22,44691,325,388498,48,9,3,5,133881,585568,No,Postgraduate,Married,Rejected
62,53799,833,330971,12,10,5,5,124256,443966,Yes,Graduate,Single,Rejected
65,86777,363,62225,72,0,0,2,135592,720426,Yes,High School,Married,Rejected
26,54510,759,194321,12,20,0,3,252676,286272,No,Graduate,Married,Rejected
48,124013,613,279788,36,6,0,2,146314,728189,No,High School,Married,Rejected
48,107919,515,429313,48,23,0,0,157435,999720,Yes,High School,Married,Rejected
64,133043,755,84163,72,22,4,0,130502,139220,No,Graduate,Married,Approved
64,97366,839,359161,12,16,0,0,111394,768147,No,Graduate,Single,Rejected
40,48975,772,494546,72,11,4,3,15293,629010,No,Graduate,Married,Rejected
50,73242,658,493546,84,19,1,3,251471,115448,No,High School,Married,Rejected
31,66546,425,394384,12,19,0,4,183667,717972,No,Postgraduate,Single,Rejected
48,112087,386,429846,84,14,0,2,199341,621730,Yes,High School,Married,Rejected
45,126464,642,257917,84,8,3,1,111914,691923,Yes,Graduate,Married,Rejected
59,43267,694,76410,60,30,1,1,35597,270953,Yes,High School,Single,Rejected
53,97911,783,263047,72,27,1,1,5318,973666,No,Graduate,Married,Rejected
21,107049,755,268250,12,21,0,3,207227,607478,No,Graduate,Single,Rejected
47,89939,775,379564,36,5,1,4,221159,299733,No,Graduate,Single,Rejected
33,141265,509,215501,12,4,2,0,48197,420001,No,Graduate,Single,Rejected
61,24897,824,144491,24,4,5,0,191543,924713,No,High School,Married,Rejected
23,20163,606,234035,60,8,3,4,198729,42469,No,Postgraduate,Married,Rejected
59,121614,375,121676,48,1,1,3,286720,5933,No,Graduate,Married,Rejected
26,72540,321,323473,36,9,2,1,157604,480250,No,Graduate,Single,Rejected
28,102915,359,45908,72,4,0,2,123350,555420,No,High School,Single,Rejected
47,133295,685,305931,72,30,3,5,60495,196947,No,Graduate,Single,Rejected
29,50030,355,453055,12,16,5,5,210744,135449,No,Postgraduate,Married,Rejected
57,75313,467,394031,48,20,3,5,222299,805790,No,High School,Single,Rejected
53,148070,711,419240,12,3,3,3,69543,539076,No,High School,Married,Rejected
62,49870,490,357499,60,3,2,1,167071,833765,No,High School,Single,Rejected
64,136565,781,374889,84,12,4,0,39264,600744,No,Graduate,Married,Rejected
44,144703,715,27755,48,19,3,4,234237,148547,No,High School,Married,Approved
35,49482,639,453756,24,18,2,4,126497,883422,Yes,Postgraduate,Married,Rejected
52,51058,558,251203,72,5,5,1,217280,526245,Yes,High School,Married,Rejected
52,77255,649,496412,24,18,4,3,2986,198010,Yes,Postgraduate,Married,Rejected
44,112407,736,177646,72,21,2,1,281649,854821,Yes,High School,Married,Rejected
61,137952,521,33356,48,15,2,3,216444,625245,No,High School,Married,Rejected
32,84930,712,118526,24,5,2,0,97609,262216,No,Postgraduate,Married,Approved
59,70500,649,251584,36,10,3,4,110804,463331,No,Graduate,Married,Rejected
22,149329,781,82260,72,9,0,5,34264,207777,No,Postgraduate,Married,Approved
23,46379,358,276271,60,30,5,3,110345,38168,Yes,Graduate,Single,Rejected
57,87787,451,440920,36,17,3,0,98903,890039,No,Postgraduate,Married,Rejected
37,129396,839,345349,48,8,5,2,234313,313811,No,Postgraduate,Single,Rejected
22,43674,524,495687,36,9,5,1,169757,242862,No,Postgraduate,Single,Rejected
22,144473,617,146950,72,14,3,3,62726,135450,No,Graduate,Single,Rejected
48,142706,578,439697,60,23,3,1,278839,436961,Yes,High School,Single,Rejected
43,26590,773,239313,60,13,3,1,82762,999149,No,Graduate,Married,Rejected
57,51432,323,68041,72,15,4,4,273083,952914,No,Postgraduate,Single,Rejected
52,60426,818,463597,84,28,4,5,69290,265525,No,High School,Married,Rejected
53,69584,667,367324,48,6,2,1,134104,75257,Yes,High School,Married,Rejected
21,107663,634,269349,72,24,1,2,33114,850539,Yes,Graduate,Married,Rejected
39,58015,732,331911,36,7,5,4,105392,960313,No,High School,Single,Rejected
22,93251,302,29401,72,24,1,1,105917,856411,No,High School,Married,Rejected
64,89353,557,38314,60,7,0,2,269930,552936,Yes,Graduate,Single,Rejected
46,115029,562,441729,48,12,2,3,12596,305301,Yes,High School,Married,Rejected
52,102990,420,130748,72,18,5,0,63625,602598,No,Graduate,Married,Rejected
26,24600,320,226350,60,9,0,2,226035,851306,No,Graduate,Married,Rejected
52,44690,439,72605,72,0,4,3,105122,389444,No,Graduate,Single,Rejected
24,144319,776,60362,12,26,3,3,25168,207139,No,Postgraduate,Single,Approved
31,128286,588,61005,12,21,0,3,227731,835344,No,Postgraduate,Married,Approved
37,53762,505,101867,60,27,0,0,232157,522395,No,Postgraduate,Married,Rejected
58,139006,342,165591,48,29,4,1,84067,389419,No,Graduate,Married,Rejected
44,57499,417,479723,12,15,2,1,173621,830236,No,Graduate,Married,Rejected
25,107988,304,355794,60,2,3,1,96397,575692,No,Graduate,Single,Rejected
54,27670,506,188159,72,2,3,5,97345,555876,No,Postgraduate,Single,Rejected
26,106687,644,299928,24,5,2,2,256194,249308,No,Graduate,Single,Rejected
42,37341,441,491034,72,25,5,0,153609,202085,Yes,High School,Married,Rejected
31,115140,671,269953,36,11,4,4,282003,189293,No,Graduate,Single,Rejected
36,93823,531,246918,60,24,5,0,114467,1154,No,Postgraduate,Single,Rejected
53,104074,463,360515,84,29,4,5,58326,26734,No,Graduate,Married,Rejected
29,37015,846,275663,12,4,0,4,96082,500452,No,Postgraduate,Married,Rejected
26,130180,663,254211,60,15,1,3,271238,345444,No,High School,Married,Rejected
36,85126,634,441173,72,16,1,1,283281,135503,No,Graduate,Single,Rejected
49,144581,310,423137,84,9,4,4,164833,41304,No,Postgraduate,Married,Rejected
23,75197,707,461943,48,6,2,1,204494,577105,No,High School,Married,Rejected
40,69849,374,239968,12,29,5,0,205652,235088,Yes,High School,Married,Rejected
56,134719,599,466106,48,24,2,1,50957,599050,No,Postgraduate,Married,Rejected
39,35852,680,148535,48,9,1,5,200398,541314,No,Postgraduate,Married,Rejected
46,75361,327,150720,72,1,5,1,116292,420772,No,High School,Single,Rejected
23,131794,762,347921,48,14,2,5,270661,50359,No,Graduate,Single,Rejected
39,41258,695,374183,84,24,2,2,201427,58910,No,Graduate,Single,Rejected
40,123866,675,195798,84,20,5,4,100328,504671,No,Graduate,Single,Rejected
52,82355,720,90370,60,28,3,2,86733,991575,No,Graduate,Married,Approved
27,61508,663,418305,12,16,5,0,218703,821756,Yes,High School,Single,Rejected
61,87784,515,315083,48,30,2,5,79854,569134,No,Graduate,Single,Rejected
53,144773,400,438691,24,3,3,5,219341,123899,No,Graduate,Married,Rejected
60,91728,392,241419,36,7,5,3,209535,713147,No,High School,Single,Rejected
59,47410,565,138820,84,18,3,3,48640,34648,No,Postgraduate,Single,Rejected
38,149974,505,440532,60,20,5,1,34229,486832,No,Graduate,Single,Rejected
60,29895,379,223251,24,1,1,3,58483,111306,No,Postgraduate,Married,Rejected
21,91942,336,252566,84,20,3,2,115279,327831,No,High School,Single,Rejected
31,53924,310,100516,12,15,4,5,285879,117019,No,Graduate,Married,Rejected
48,132622,389,178398,36,13,0,5,238528,653933,No,High School,Married,Rejected
45,148809,318,208020,84,11,3,1,66732,952119,Yes,High School,Single,Rejected
43,126839,673,97965,84,8,4,1,258357,246251,No,Graduate,Married,Rejected
51,90831,393,78913,48,11,4,4,100164,585502,Yes,High School,Single,Rejected
50,32264,331,386037,24,2,2,1,96795,129223,No,Graduate,Single,Rejected
62,48038,439,161414,24,22,4,3,246771,977948,No,Graduate,Single,Rejected
55,124458,320,324522,48,12,2,4,69036,158801,Yes,Postgraduate,Married,Rejected
27,136936,448,308015,72,5,4,5,158088,22346,Yes,Graduate,Married,Rejected
36,29136,520,469093,72,1,1,2,295793,276571,No,Postgraduate,Married,Rejected
46,33213,518,63989,48,29,1,3,110730,537067,No,Graduate,Married,Rejected
22,97608,840,45708,84,6,1,3,145618,79937,No,Graduate,Married,Approved
21,128546,357,295305,24,25,1,5,179096,350852,No,Postgraduate,Married,Rejected
32,121589,724,109169,12,19,5,3,274673,748680,No,High School,Married,Rejected
25,47431,574,153253,60,13,1,2,82208,231344,No,Graduate,Married,Rejected
57,62290,439,159722,12,5,4,4,138278,422180,No,Postgraduate,Married,Rejected
52,87539,322,257534,12,22,3,4,216769,267093,Yes,Postgraduate,Single,Rejected
29,105535,677,197521,60,8,3,3,26793,325823,No,Graduate,Single,Rejected
61,116815,672,483792,12,6,3,1,140809,33812,No,Graduate,Single,Rejected
55,62747,362,289880,36,18,1,1,203773,391718,No,Graduate,Married,Rejected
39,95974,641,80387,48,24,1,5,65971,960497,Yes,High School,Married,Rejected
36,99763,466,299949,24,15,4,3,250616,838486,No,Graduate,Married,Rejected
23,89208,450,236354,60,12,5,1,271699,631140,No,High School,Married,Rejected
40,149132,822,19429,12,5,3,2,35388,110978,No,High School,Married,Approved
44,92994,800,151664,24,3,5,4,146019,808170,No,Graduate,Married,Approved
53,104075,647,325374,72,11,2,2,232167,48098,No,Graduate,Married,Rejected
44,89015,571,329770,36,25,1,3,266826,438249,No,Postgraduate,Single,Rejected
31,34887,729,495310,12,20,0,1,197197,299238,No,High School,Married,Rejected
28,145900,532,69139,12,9,0,3,190923,404246,No,Postgraduate,Single,Rejected
56,20051,507,494713,12,15,0,2,174836,187205,Yes,Postgraduate,Married,Rejected
58,87695,752,179761,36,0,4,4,18618,69452,No,Graduate,Single,Rejected
60,89926,800,240617,48,11,2,0,283510,864558,Yes,High School,Married,Rejected
40,105571,518,430904,24,19,1,3,2606,728171,Yes,Postgraduate,Single,Rejected
55,142044,380,205062,84,29,4,3,224351,453232,Yes,Postgraduate,Married,Rejected
45,48491,848,239050,84,18,3,3,104274,580462,Yes,High School,Single,Rejected
55,36080,840,106664,12,21,3,3,115263,412216,Yes,High School,Single,Rejected
45,54880,550,327151,72,24,1,4,41953,356642,No,Postgraduate,Married,Rejected
49,79965,714,484372,12,28,5,4,161268,496262,No,High School,Married,Rejected
38,131056,385,107602,36,18,1,2,9680,846253,No,Graduate,Married,Rejected
38,67361,516,51567,36,29,0,0,252866,509370,Yes,Postgraduate,Single,Rejected
22,107685,495,8475,24,27,2,3,299991,717697,No,Graduate,Single,Approved
55,100875,596,396134,24,20,0,2,106790,374043,No,Graduate,Married,Rejected
36,114841,343,372008,72,17,2,4,3373,369480,No,High School,Married,Rejected
61,86890,692,57529,12,8,4,1,255148,794090,No,Graduate,Single,Approved
56,91156,742,288569,84,23,4,5,204172,895979,No,High School,Single,Rejected
53,89290,389,482320,72,25,5,4,166836,875421,No,Postgraduate,Married,Rejected
24,36593,454,444046,72,3,2,4,75521,288390,Yes,High School,Single,Rejected
53,36167,777,321296,72,10,4,1,181880,985381,No,Postgraduate,Single,Rejected
34,140920,358,181745,12,23,2,1,207666,676689,No,High School,Single,Rejected
41,142534,409,362273,12,15,5,2,144286,422175,No,High School,Single,Rejected
40,108091,778,241673,12,25,5,0,69885,465442,No,High School,Single,Rejected
28,53005,348,248460,12,19,5,0,71182,958226,No,High School,Married,Rejected
27,126831,676,425464,72,1,4,4,247622,722315,No,High School,Single,Rejected
23,149086,331,20169,36,8,5,1,147808,166386,No,High School,Single,Rejected
37,85471,785,251899,84,17,3,4,115792,261349,Yes,High School,Single,Rejected
53,146718,830,74769,48,16,1,0,145994,511146,No,Postgraduate,Married,Approved
32,126379,302,7462,24,16,4,0,225680,215627,No,Graduate,Single,Rejected
42,70728,677,286760,36,13,4,3,83786,491073,No,Postgraduate,Married,Rejected
42,28691,541,48627,60,12,3,0,251588,905641,No,Graduate,Married,Rejected
50,29756,840,226431,60,18,0,5,142787,4684,No,Graduate,Single,Rejected
58,143670,656,29430,60,25,3,3,51500,366672,No,Postgraduate,Married,Approved
58,56308,496,299021,24,22,4,4,157857,818383,No,Graduate,Married,Rejected
65,84079,718,120213,12,5,3,2,222759,348627,No,Graduate,Single,Rejected
28,85524,572,100821,60,11,3,0,271427,416706,Yes,Graduate,Married,Rejected
47,80466,801,299158,60,12,5,3,89602,542698,Yes,High School,Single,Rejected
47,29327,334,189544,48,30,3,2,227265,703858,No,Graduate,Single,Rejected
54,48520,760,129024,36,2,2,2,224579,197768,No,High School,Single,Rejected
41,63308,552,91750,72,15,3,4,61286,663551,No,Graduate,Married,Rejected
50,125561,811,34392,24,20,3,1,104336,756663,No,High School,Single,Approved
53,114436,347,242482,24,9,4,2,26564,278727,No,High School,Married,Rejected
48,36533,484,103766,48,21,2,4,7004,348480,No,Graduate,Single,Rejected
53,148754,790,417563,84,9,0,1,280511,872241,No,Graduate,Single,Rejected
25,117417,572,126071,60,17,2,5,35005,89814,No,High School,Married,Rejected
39,113318,826,377756,72,2,2,2,176879,198391,No,Graduate,Married,Rejected
24,64488,427,331079,72,12,2,4,121680,855438,Yes,Postgraduate,Single,Rejected
55,87160,509,207524,48,15,4,4,76414,846015,Yes,Graduate,Single,Rejected
37,60429,441,342850,12,3,5,3,33433,635451,No,High School,Married,Rejected
64,71726,472,83271,60,23,1,4,28424,523517,No,Graduate,Married,Rejected
48,106348,746,299492,84,28,4,2,104363,301265,No,High School,Married,Rejected
50,93065,418,293683,72,10,4,2,277072,985312,No,Graduate,Single,Rejected
49,40653,310,279686,24,16,0,0,224801,162235,No,High School,Married,Rejected
26,76921,603,260137,72,24,5,2,139072,616443,No,Postgraduate,Married,Rejected
55,113396,453,365750,36,0,0,1,64421,26670,No,High School,Married,Rejected
61,33654,622,158339,48,11,0,0,8309,830481,No,High School,Married,Rejected
57,22108,836,136848,72,2,1,4,28821,994156,No,Graduate,Married,Rejected
44,89483,744,442435,72,18,2,0,168234,233536,No,Graduate,Married,Rejected
49,27899,641,398839,72,8,1,1,244696,838391,No,Graduate,Married,Rejected
51,33372,520,198565,84,18,2,0,248568,696748,No,High School,Married,Rejected
55,57682,409,262808,48,18,1,1,48573,922732,No,Graduate,Married,Rejected
53,115909,709,497979,24,30,5,4,194646,170911,No,Graduate,Married,Rejected
41,124971,717,286914,72,17,4,0,113694,988239,Yes,High School,Single,Rejected
52,87799,804,110334,84,19,4,2,66118,801438,No,High School,Married,Approved
43,111724,339,281867,72,10,2,2,244402,925626,Yes,High School,Single,Rejected
53,56583,808,173615,60,23,2,1,224204,938812,Yes,Graduate,Married,Rejected
23,49295,758,488807,84,21,2,1,277351,473626,No,Graduate,Married,Rejected
38,86113,562,36327,60,0,3,1,178426,317011,No,Postgraduate,Single,Rejected
45,100565,417,197646,60,20,0,5,161752,77170,Yes,High School,Single,Rejected
62,69574,749,432045,72,28,3,4,51189,480885,No,High School,Married,Rejected
51,121067,713,300199,72,11,3,5,43116,420044,Yes,High School,Married,Rejected
23,84934,825,34764,72,10,4,1,81726,451110,Yes,High School,Married,Approved
60,50066,760,380529,36,9,5,2,188882,163140,Yes,High School,Single,Rejected
44,103149,417,487370,84,10,4,2,25873,393509,No,High School,Married,Rejected
52,133949,516,319935,36,7,2,1,11195,164960,No,Postgraduate,Single,Rejected
42,105096,376,45723,60,16,4,3,255925,983699,No,Graduate,Single,Rejected
43,28945,720,420935,36,5,2,5,38417,787096,No,Postgraduate,Married,Rejected
