Area_sqft,Bedrooms,Bathrooms,Age_years,Garage,Distance_km,Price_USD
2214,5,4,32,1,5.8,499689.0
1483,2,1,4,0,26.5,276884.0
1120,3,1,38,3,5.1,232740.0
2384,5,3,38,3,5.0,524348.0
2273,3,5,18,0,10.7,489116.0
3351,5,5,12,1,2.5,726197.0
3582,5,5,27,0,21.9,696187.0
3177,6,2,15,0,23.9,647221.0
3690,4,3,7,1,27.2,714895.0
2380,6,2,40,0,26.3,453624.0
2974,2,1,4,2,6.6,609853.0
1436,1,5,7,3,14.2,336229.0
